format=1 tracks=5 division=92

BA    8   CR   3+17/23   TR  1   CH  2   NT  Bb          10/23
BA    8   CR   3+17/23   TR  2   CH  3   NT  Eb-          5/23
BA    8   CR   3+17/23   TR  3   CH  4   NT  Bb           5/23
BA    8   CR   3+17/23   TR  4   CH 10   NT  F#--         5/23
BA    8   CR   3+22/23   TR  3   CH  4   NT  G            5/23
BA    8   CR   3+22/23   TR  4   CH 10   NT  F#--        10/23

BA    9   CR      4/23   TR  1   CH  2   NT  Bb           5/23
BA    9   CR      4/23   TR  2   CH  3   NT  Eb-          5/23
BA    9   CR      4/23   TR  3   CH  4   NT  Bb        1+17/23
BA    9   CR      4/23   TR  4   CH 10   NT  E--       1+17/23
BA    9   CR      9/23   TR  1   CH  2   NT  G            5/23
BA    9   CR      9/23   TR  2   CH  3   NT  Eb-          5/23
BA    9   CR      9/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR     14/23   TR  1   CH  2   NT  Bb        1+17/23
BA    9   CR     14/23   TR  2   CH  3   NT  Eb-          5/23
BA    9   CR     14/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR     19/23   TR  2   CH  3   NT  Eb-          5/23
BA    9   CR     19/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR    1+1/23   TR  2   CH  3   NT  Eb-          5/23
BA    9   CR    1+1/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR    1+6/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR   1+11/23   TR  2   CH  3   NT  Eb-          5/23
BA    9   CR   1+11/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR   1+16/23   TR  4   CH 10   NT  F#--        10/23
BA    9   CR   1+21/23   TR  2   CH  3   NT  D-           5/23
BA    9   CR   1+21/23   TR  4   CH 10   NT  E--       1+17/23
BA    9   CR    2+3/23   TR  2   CH  3   NT  D-           5/23
BA    9   CR    2+3/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR    2+8/23   TR  2   CH  3   NT  D-           5/23
BA    9   CR    2+8/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR   2+13/23   TR  2   CH  3   NT  D-           5/23
BA    9   CR   2+13/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR   2+18/23   TR  2   CH  3   NT  C-           5/23
BA    9   CR   2+18/23   TR  3   CH  4   NT  C           10/23
BA    9   CR   2+18/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR         3   TR  4   CH 10   NT  F#--         5/23
BA    9   CR    3+5/23   TR  1   CH  2   NT  C           10/23
BA    9   CR    3+5/23   TR  2   CH  3   NT  C-           5/23
BA    9   CR    3+5/23   TR  4   CH 10   NT  F#--         5/23
BA    9   CR   3+10/23   TR  4   CH 10   NT  F#--        10/23
BA    9   CR   3+15/23   TR  2   CH  3   NT  C-           5/23
BA    9   CR   3+15/23   TR  3   CH  4   NT  C           10/23
BA    9   CR   3+15/23   TR  4   CH 10   NT  E--       1+17/23
